WORDS_ID,VOCAB_WORD,FREQUENCY
0,http,9511
1,use,5019
2,list,4851
3,email,4367
4,get,4200
5,mail,3983
6,one,3907
7,free,3202
8,time,3042
9,work,2883
10,messag,2790
11,make,2784
12,like,2768
13,would,2746
14,peopl,2675
15,inform,2661
16,new,2624
17,receiv,2478
18,pleas,2189
19,address,2148
20,busi,2148
21,click,2145
22,want,2066
23,us,2015
24,need,2005
25,order,1995
26,remov,1967
27,also,1877
28,go,1852
29,year,1838
30,send,1832
31,money,1805
32,file,1791
33,compani,1765
34,system,1709
35,name,1706
36,report,1700
37,wrote,1692
38,way,1680
39,user,1643
40,look,1638
41,chang,1613
42,site,1613
43,know,1606
44,day,1603
45,state,1602
46,program,1571
47,may,1568
48,see,1550
49,call,1536
50,could,1533
51,group,1528
52,even,1513
53,think,1492
54,includ,1491
55,first,1468
56,linux,1464
57,offer,1450
58,take,1412
59,say,1408
60,servic,1393
61,right,1388
62,world,1367
63,tri,1354
64,help,1354
65,find,1342
66,market,1333
67,internet,1333
68,product,1302
69,mani,1271
70,much,1269
71,home,1243
72,said,1228
73,web,1226
74,softwar,1226
75,problem,1222
76,date,1211
77,line,1206
78,spam,1205
79,start,1189
80,check,1188
81,good,1186
82,number,1178
83,run,1173
84,thing,1167
85,https,1149
86,link,1147
87,month,1126
88,well,1119
89,subject,1107
90,interest,1088
91,phone,1086
92,govern,1067
93,person,1064
94,provid,1046
95,set,1039
96,today,1021
97,come,1017
98,best,1016
99,million,1016
100,give,1016
101,server,1015
102,follow,1012
103,back,1008
104,rate,987
105,form,983
106,everi,979
107,secur,975
108,price,946
109,url,943
110,still,938
111,comput,925
112,packag,918
113,instal,906
114,avail,901
115,sent,899
116,code,898
117,version,890
118,life,890
119,read,888
120,week,885
121,sinc,879
122,ad,876
123,grant,875
124,maintain,874
125,sponsor,869
126,thank,867
127,network,863
128,credit,852
129,two,852
130,differ,851
131,without,846
132,made,835
133,develop,830
134,support,827
135,within,827
136,write,811
137,save,809
138,realli,807
139,case,803
140,page,801
141,subscript,800
142,someth,797
143,irish,796
144,current,792
145,un,790
146,last,789
147,anyon,788
148,complet,780
149,onlin,778
150,seem,775
151,sure,774
152,requir,768
153,card,768
154,build,767
155,custom,764
156,manag,763
157,never,757
158,ilug,746
159,better,743
160,keep,740
161,special,740
162,window,740
163,point,736
164,place,735
165,search,734
166,ca,729
167,per,721
168,anoth,721
169,found,715
170,part,714
171,actual,712
172,access,712
173,repli,706
174,result,705
175,contact,704
176,question,701
177,base,696
178,listmast,695
179,futur,694
180,old,692
181,issu,691
182,put,691
183,great,687
184,wish,687
185,next,680
186,long,678
187,let,674
188,countri,672
189,hour,672
190,live,671
191,must,667
192,end,664
193,invest,662
194,easi,661
195,mean,661
196,process,661
197,unsubscrib,660
198,lot,656
199,de,653
200,unit,653
201,communic,649
202,cost,646
203,got,645
204,guarante,644
205,show,642
206,nation,642
207,account,642
208,technolog,642
209,increas,641
210,might,634
211,power,632
212,releas,629
213,legal,628
214,data,621
215,public,620
216,allow,617
217,sourc,616
218,success,615
219,news,614
220,engin,607
221,possibl,606
222,trade,604
223,profession,603
224,post,601
225,open,601
226,idea,601
227,ask,598
228,advertis,598
229,pay,598
230,error,592
231,websit,588
232,test,588
233,opportun,587
234,real,585
235,sell,578
236,high,578
237,ever,576
238,less,574
239,direct,574
240,insur,573
241,respons,573
242,plan,571
243,design,569
244,tell,567
245,creat,564
246,heaven,564
247,visit,564
248,word,562
249,buy,561
250,reason,559
251,howev,559
252,prefer,558
253,effect,555
254,someon,555
255,aug,553
256,law,547
257,sale,547
258,applic,544
259,improv,544
260,instead,543
261,around,543
262,friend,541
263,fact,539
264,least,537
265,box,536
266,dollar,534
267,american,530
268,fix,530
269,job,526
270,copi,525
271,yes,523
272,probabl,518
273,simpl,518
274,origin,513
275,cours,513
276,believ,512
277,contain,507
278,fax,507
279,move,504
280,type,503
281,happen,502
282,though,501
283,littl,499
284,total,496
285,financi,494
286,general,492
287,share,491
288,welcom,491
289,format,490
290,request,490
291,import,489
292,add,488
293,exampl,488
294,client,486
295,els,486
296,abl,486
297,perl,483
298,anyth,481
299,valu,481
300,alway,477
301,simpli,477
302,alreadi,476
303,protect,474
304,fill,474
305,full,473
306,cash,472
307,feel,470
308,mailto,470
309,directori,469
310,purchas,467
311,bit,467
312,stop,467
313,regard,467
314,licens,466
315,signatur,466
316,cd,464
317,note,463
318,intern,463
319,experi,461
320,polici,461
321,answer,460
322,exist,458
323,return,457
324,updat,457
325,learn,455
326,past,455
327,famili,454
328,info,450
329,top,449
330,sep,449
331,geek,448
332,becom,447
333,ship,447
334,second,447
335,age,445
336,act,445
337,instruct,444
338,lead,444
339,drive,443
340,small,443
341,suppli,441
342,control,440
343,member,437
344,databas,437
345,select,436
346,low,436
347,thousand,436
348,recent,435
349,incom,431
350,featur,430
351,citi,430
352,hard,429
353,etc,428
354,stuff,427
355,minut,425
356,rpm,425
357,limit,425
358,done,423
359,sever,423
360,yet,423
361,industri,423
362,turn,423
363,folder,422
364,appli,422
365,kind,421
366,generat,421
367,tool,421
368,continu,420
369,understand,419
370,c,418
371,detail,418
372,guid,417
373,noth,415
374,everyth,415
375,step,413
376,exmh,412
377,notic,411
378,oper,411
379,enough,410
380,claim,409
381,big,409
382,care,408
383,e,408
384,sign,408
385,letter,407
386,univers,407
387,caus,405
388,relat,404
389,larg,404
390,key,403
391,three,401
392,thinkgeek,399
393,other,398
394,connect,397
395,bill,396
396,discuss,394
397,accept,394
398,specif,393
399,record,393
400,term,392
401,via,390
402,pgp,390
403,offic,390
404,play,390
405,talk,389
406,option,389
407,text,389
408,decid,388
409,america,388
410,mayb,387
411,immedi,386
412,deal,386
413,download,384
414,major,383
415,seen,382
416,forc,381
417,hope,381
418,subscrib,380
419,comment,379
420,thought,378
421,individu,377
422,rule,375
423,lose,374
424,plus,374
425,log,374
426,method,372
427,natur,372
428,matter,371
429,risk,369
430,true,369
431,either,369
432,rememb,368
433,yahoo,368
434,assist,367
435,content,366
436,rather,365
437,present,365
438,secret,365
439,quot,365
440,away,364
441,mime,364
442,wait,363
443,bank,362
444,r,362
445,kernel,361
446,hand,361
447,fund,361
448,bad,360
449,local,360
450,project,358
451,hundr,356
452,loan,355
453,level,354
454,train,354
455,matthia,354
456,quick,353
457,certain,353
458,corpor,353
459,consid,352
460,research,351
461,area,350
462,razor,350
463,august,349
464,forward,349
465,book,349
466,addit,348
467,root,344
468,stori,343
469,polit,340
470,machin,340
471,benefit,339
472,target,339
473,standard,339
474,quit,338
475,entir,338
476,war,338
477,suggest,337
478,appear,336
479,document,336
480,copyright,336
481,presid,335
482,bodi,335
483,global,335
484,author,334
485,bug,333
486,posit,332
487,often,332
488,expect,331
489,bonus,331
490,human,330
491,mind,330
492,center,330
493,distribut,330
494,juli,329
495,septemb,327
496,grow,325
497,jul,324
498,ago,324
499,clear,324
500,hit,322
501,qualiti,322
502,trust,321
503,size,321
504,partner,320
505,exact,320
506,love,320
507,easili,319
508,absolut,319
509,island,318
510,agent,317
511,whether,317
512,pm,317
513,join,316
514,activ,316
515,b,315
516,given,315
517,involv,314
518,collect,314
519,fast,314
520,solut,314
521,amount,313
522,happi,313
523,associ,312
524,domain,311
525,charg,311
526,man,310
527,promot,310
528,whole,309
529,sort,307
530,far,307
531,earn,307
532,fork,306
533,parti,306
534,later,306
535,wrong,305
536,hi,305
537,feder,305
538,submit,304
539,mortgag,302
540,upon,302
541,wed,301
542,meet,301
543,potenti,301
544,refer,300
545,nice,299
546,enter,299
547,load,298
